"","Naziv_jedinice","Godina","Županija","Status","Stopa_prireza","Iznos_prireza","Broj_stanovnika","Iznos_prireza_po_stanovniku"
"469","BRCKOVLJANI",2014,"I ZAGREBAČKA","OPĆINA",0.03,321464.2345,6836,47.0251952165009
"470","BRCKOVLJANI",2015,"I ZAGREBAČKA","OPĆINA",0.03,273564.6636,6732,40.6364622103387
"471","BRCKOVLJANI",2016,"I ZAGREBAČKA","OPĆINA",0.03,284443.2775,6576,43.2547563108273
"472","BRCKOVLJANI",2017,"I ZAGREBAČKA","OPĆINA",0.03,245620.138189,6508,37.7412627825753
"473","BRCKOVLJANI",2018,"I ZAGREBAČKA","OPĆINA",0.03,337024.386309,6475,52.0500982716602
"474","BRCKOVLJANI",2019,"I ZAGREBAČKA","OPĆINA",0.03,359525.954759,6418,56.018378740885
"475","BRCKOVLJANI",2020,"I ZAGREBAČKA","OPĆINA",0.03,357642.9095,6421,55.6989424544463
"476","BRCKOVLJANI",2021,"I ZAGREBAČKA","OPĆINA",0.03,310302.862424,5876,52.8085198134786
"477","BRDOVEC",2008,"I ZAGREBAČKA","OPĆINA",0.1,3034046.83,10805,280.80026191578
"478","BRDOVEC",2009,"I ZAGREBAČKA","OPĆINA",0.1,3073124.73,10932,281.112763446762
"479","BRDOVEC",2010,"I ZAGREBAČKA","OPĆINA",0.1,2456846.33,11076,221.817111773203
"480","BRDOVEC",2011,"I ZAGREBAČKA","OPĆINA",0.1,2627114.95,11250,233.521328888889
"481","BRDOVEC",2012,"I ZAGREBAČKA","OPĆINA",0.1,2811288.43,11320,248.347034452297
"482","BRDOVEC",2013,"I ZAGREBAČKA","OPĆINA",0.1,2978347.1447,11436,260.436091701644
"483","BRDOVEC",2014,"I ZAGREBAČKA","OPĆINA",0.1,3054234.0608,11384,268.291818411806
"484","BRDOVEC",2015,"I ZAGREBAČKA","OPĆINA",0.1,2640029.6257,11342,232.765793131723
"485","BRDOVEC",2016,"I ZAGREBAČKA","OPĆINA",0.1,3015402.7817,11280,267.322941640071
"486","BRDOVEC",2017,"I ZAGREBAČKA","OPĆINA",0.1,2797066.524359,11167,250.4760924473
"487","BRDOVEC",2018,"I ZAGREBAČKA","OPĆINA",0.1,3050767.242087,11060,275.837906156148
"488","BRDOVEC",2019,"I ZAGREBAČKA","OPĆINA",0.1,3344418.777006,11158,299.732817440939
"489","BRDOVEC",2020,"I ZAGREBAČKA","OPĆINA",0.1,3321412.881441,11194,296.713675311863
"490","BRDOVEC",2021,"I ZAGREBAČKA","OPĆINA",0.1,3084577.001567,10737,287.284809683059
"491","BRELA",2008,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,217960.16,1725,126.353715942029
"492","BRELA",2009,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,190534.12,1725,110.454562318841
"493","BRELA",2010,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,198042.49,1711,115.746633547633
"494","BRELA",2011,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,181124.48,1689,107.237702782712
"495","BRELA",2012,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,211907.86,1701,124.578400940623
"496","BRELA",2013,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,215551.99,1714,125.759620770128
"497","BRELA",2014,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,247654.4184,1708,144.996732084309
"498","BRELA",2015,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,244080.2667,1714,142.403889556593
"499","BRELA",2016,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,266006.3071,1705,156.015429384164
"500","BRELA",2017,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,215555.003676,1678,128.459477756853
"501","BRELA",2018,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,234193.246576,1672,140.067731205742
"502","BRELA",2019,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,274571.090813,1663,165.105887440168
"503","BRELA",2020,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,196297.472164,1657,118.465583683766
"504","BRELA",2021,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.05,231707.973153,1626,142.50182850738
