"","Naziv_jedinice","Godina","Šifra_Ž","Županija","Status","Šifra_GO","Stopa_prireza","Objava","Datum_primjene","Iznos_prireza","Broj_stanovnika"
"191","BEBRINA",2003,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,3329
"192","BEBRINA",2004,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,3334
"193","BEBRINA",2005,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,3304
"194","BEBRINA",2006,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,3310
"195","BEBRINA",2007,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,3278
"196","BEBRINA",2008,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3287
"197","BEBRINA",2009,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3277
"198","BEBRINA",2010,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3252
"199","BEBRINA",2011,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3260
"200","BEBRINA",2012,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3205
"201","BEBRINA",2013,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3161
"202","BEBRINA",2014,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3140
"203","BEBRINA",2015,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3087
"204","BEBRINA",2016,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,3041
"205","BEBRINA",2017,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,2991
"206","BEBRINA",2018,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,2943
"207","BEBRINA",2019,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,2885
"208","BEBRINA",2020,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,2836
"209","BEBRINA",2021,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",0,2817
"210","BEBRINA",2022,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,NA
"211","BEDEKOVČINA",2002,2,"II KRAPINSKO-ZAGORSKA","OPĆINA","00116",0,"-","-",NA,8336
"212","BEDEKOVČINA",2003,2,"II KRAPINSKO-ZAGORSKA","OPĆINA","00116",0,"-","-",NA,8288
"213","BEDEKOVČINA",2004,2,"II KRAPINSKO-ZAGORSKA","OPĆINA","00116",0,"-","-",NA,8252
"214","BEDEKOVČINA",2005,2,"II KRAPINSKO-ZAGORSKA","OPĆINA","00116",0,"-","-",NA,8194
"215","BEDEKOVČINA",2006,2,"II KRAPINSKO-ZAGORSKA","OPĆINA","00116",0,"-","-",NA,8146
